"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","BZN|HU","Without Sequence","104.33","",""
"01/01/2026 00:15:00 - 01/01/2026 00:30:00","BZN|HU","Without Sequence","98.99","",""
"01/01/2026 00:30:00 - 01/01/2026 00:45:00","BZN|HU","Without Sequence","98.83","",""
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","BZN|HU","Without Sequence","93.06","",""
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","BZN|HU","Without Sequence","99.44","",""
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","BZN|HU","Without Sequence","98.13","",""
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","BZN|HU","Without Sequence","94.51","",""
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","BZN|HU","Without Sequence","87.99","",""
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","BZN|HU","Without Sequence","99.05","",""
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","BZN|HU","Without Sequence","91.24","",""
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","BZN|HU","Without Sequence","87.99","",""
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","BZN|HU","Without Sequence","80.86","",""
"01/01/2026 03:00:00 - 01/01/2026 03:15:00","BZN|HU","Without Sequence","84.31","",""
"01/01/2026 03:15:00 - 01/01/2026 03:30:00","BZN|HU","Without Sequence","79.53","",""
"01/01/2026 03:30:00 - 01/01/2026 03:45:00","BZN|HU","Without Sequence","71.59","",""
"01/01/2026 03:45:00 - 01/01/2026 04:00:00","BZN|HU","Without Sequence","72.99","",""
"01/01/2026 04:00:00 - 01/01/2026 04:15:00","BZN|HU","Without Sequence","67.61","",""
"01/01/2026 04:15:00 - 01/01/2026 04:30:00","BZN|HU","Without Sequence","66.84","",""
"01/01/2026 04:30:00 - 01/01/2026 04:45:00","BZN|HU","Without Sequence","70.05","",""
"01/01/2026 04:45:00 - 01/01/2026 05:00:00","BZN|HU","Without Sequence","72.07","",""
"01/01/2026 05:00:00 - 01/01/2026 05:15:00","BZN|HU","Without Sequence","53.82","",""
"01/01/2026 05:15:00 - 01/01/2026 05:30:00","BZN|HU","Without Sequence","68.58","",""
"01/01/2026 05:30:00 - 01/01/2026 05:45:00","BZN|HU","Without Sequence","76.89","",""
"01/01/2026 05:45:00 - 01/01/2026 06:00:00","BZN|HU","Without Sequence","78.08","",""
"01/01/2026 06:00:00 - 01/01/2026 06:15:00","BZN|HU","Without Sequence","69.61","",""
"01/01/2026 06:15:00 - 01/01/2026 06:30:00","BZN|HU","Without Sequence","73.40","",""
"01/01/2026 06:30:00 - 01/01/2026 06:45:00","BZN|HU","Without Sequence","76.69","",""
"01/01/2026 06:45:00 - 01/01/2026 07:00:00","BZN|HU","Without Sequence","80.87","",""
"01/01/2026 07:00:00 - 01/01/2026 07:15:00","BZN|HU","Without Sequence","78.02","",""
"01/01/2026 07:15:00 - 01/01/2026 07:30:00","BZN|HU","Without Sequence","79.41","",""
"01/01/2026 07:30:00 - 01/01/2026 07:45:00","BZN|HU","Without Sequence","64.38","",""
"01/01/2026 07:45:00 - 01/01/2026 08:00:00","BZN|HU","Without Sequence","51.69","",""
"01/01/2026 08:00:00 - 01/01/2026 08:15:00","BZN|HU","Without Sequence","50.37","",""
"01/01/2026 08:15:00 - 01/01/2026 08:30:00","BZN|HU","Without Sequence","45.44","",""
"01/01/2026 08:30:00 - 01/01/2026 08:45:00","BZN|HU","Without Sequence","45.81","",""
"01/01/2026 08:45:00 - 01/01/2026 09:00:00","BZN|HU","Without Sequence","39.89","",""
"01/01/2026 09:00:00 - 01/01/2026 09:15:00","BZN|HU","Without Sequence","53.43","",""
"01/01/2026 09:15:00 - 01/01/2026 09:30:00","BZN|HU","Without Sequence","48.46","",""
"01/01/2026 09:30:00 - 01/01/2026 09:45:00","BZN|HU","Without Sequence","31.32","",""
"01/01/2026 09:45:00 - 01/01/2026 10:00:00","BZN|HU","Without Sequence","10.72","",""
"01/01/2026 10:00:00 - 01/01/2026 10:15:00","BZN|HU","Without Sequence","47.54","",""
"01/01/2026 10:15:00 - 01/01/2026 10:30:00","BZN|HU","Without Sequence","25.95","",""
"01/01/2026 10:30:00 - 01/01/2026 10:45:00","BZN|HU","Without Sequence","23.26","",""
"01/01/2026 10:45:00 - 01/01/2026 11:00:00","BZN|HU","Without Sequence","10.69","",""
"01/01/2026 11:00:00 - 01/01/2026 11:15:00","BZN|HU","Without Sequence","41.26","",""
"01/01/2026 11:15:00 - 01/01/2026 11:30:00","BZN|HU","Without Sequence","22.07","",""
"01/01/2026 11:30:00 - 01/01/2026 11:45:00","BZN|HU","Without Sequence","26.28","",""
"01/01/2026 11:45:00 - 01/01/2026 12:00:00","BZN|HU","Without Sequence","21.18","",""
"01/01/2026 12:00:00 - 01/01/2026 12:15:00","BZN|HU","Without Sequence","23.53","",""
"01/01/2026 12:15:00 - 01/01/2026 12:30:00","BZN|HU","Without Sequence","27.31","",""
"01/01/2026 12:30:00 - 01/01/2026 12:45:00","BZN|HU","Without Sequence","31.08","",""
"01/01/2026 12:45:00 - 01/01/2026 13:00:00","BZN|HU","Without Sequence","36.14","",""
"01/01/2026 13:00:00 - 01/01/2026 13:15:00","BZN|HU","Without Sequence","41.55","",""
"01/01/2026 13:15:00 - 01/01/2026 13:30:00","BZN|HU","Without Sequence","41.30","",""
"01/01/2026 13:30:00 - 01/01/2026 13:45:00","BZN|HU","Without Sequence","33.10","",""
"01/01/2026 13:45:00 - 01/01/2026 14:00:00","BZN|HU","Without Sequence","34.18","",""
"01/01/2026 14:00:00 - 01/01/2026 14:15:00","BZN|HU","Without Sequence","40.37","",""
"01/01/2026 14:15:00 - 01/01/2026 14:30:00","BZN|HU","Without Sequence","57.03","",""
"01/01/2026 14:30:00 - 01/01/2026 14:45:00","BZN|HU","Without Sequence","56.87","",""
"01/01/2026 14:45:00 - 01/01/2026 15:00:00","BZN|HU","Without Sequence","83.58","",""
"01/01/2026 15:00:00 - 01/01/2026 15:15:00","BZN|HU","Without Sequence","57.65","",""
"01/01/2026 15:15:00 - 01/01/2026 15:30:00","BZN|HU","Without Sequence","68.45","",""
"01/01/2026 15:30:00 - 01/01/2026 15:45:00","BZN|HU","Without Sequence","99.52","",""
"01/01/2026 15:45:00 - 01/01/2026 16:00:00","BZN|HU","Without Sequence","130.00","",""
"01/01/2026 16:00:00 - 01/01/2026 16:15:00","BZN|HU","Without Sequence","98.13","",""
"01/01/2026 16:15:00 - 01/01/2026 16:30:00","BZN|HU","Without Sequence","102.51","",""
"01/01/2026 16:30:00 - 01/01/2026 16:45:00","BZN|HU","Without Sequence","115.40","",""
"01/01/2026 16:45:00 - 01/01/2026 17:00:00","BZN|HU","Without Sequence","100.12","",""
"01/01/2026 17:00:00 - 01/01/2026 17:15:00","BZN|HU","Without Sequence","107.79","",""
"01/01/2026 17:15:00 - 01/01/2026 17:30:00","BZN|HU","Without Sequence","113.90","",""
"01/01/2026 17:30:00 - 01/01/2026 17:45:00","BZN|HU","Without Sequence","100.85","",""
"01/01/2026 17:45:00 - 01/01/2026 18:00:00","BZN|HU","Without Sequence","91.00","",""
