"MTU (CET/CEST)","Area","Generation Forecast (MW)","Actual Generation (MW)","Scheduled Consumption (MW)"
"01/01/2025 00:00:00 - 01/01/2025 00:15:00","BZN|HU","2771.86","3221.26"," "
"01/01/2025 00:15:00 - 01/01/2025 00:30:00","BZN|HU","2756.49","2969.85"," "
"01/01/2025 00:30:00 - 01/01/2025 00:45:00","BZN|HU","2740.91","2903.05"," "
"01/01/2025 00:45:00 - 01/01/2025 01:00:00","BZN|HU","2725.41","2878.35"," "
"01/01/2025 01:00:00 - 01/01/2025 01:15:00","BZN|HU","2689.76","2928.57"," "
"01/01/2025 01:15:00 - 01/01/2025 01:30:00","BZN|HU","2679.20","2918.13"," "
"01/01/2025 01:30:00 - 01/01/2025 01:45:00","BZN|HU","2661.62","2863.58"," "
"01/01/2025 01:45:00 - 01/01/2025 02:00:00","BZN|HU","2660.79","2850.14"," "
"01/01/2025 02:00:00 - 01/01/2025 02:15:00","BZN|HU","2673.01","2926.07"," "
"01/01/2025 02:15:00 - 01/01/2025 02:30:00","BZN|HU","2672.95","2935.72"," "
"01/01/2025 02:30:00 - 01/01/2025 02:45:00","BZN|HU","2657.81","2868.53"," "
"01/01/2025 02:45:00 - 01/01/2025 03:00:00","BZN|HU","2658.51","2838.98"," "
"01/01/2025 03:00:00 - 01/01/2025 03:15:00","BZN|HU","2620.52","2808.99"," "
"01/01/2025 03:15:00 - 01/01/2025 03:30:00","BZN|HU","2619.82","2791.82"," "
"01/01/2025 03:30:00 - 01/01/2025 03:45:00","BZN|HU","2605.49","2768.92"," "
"01/01/2025 03:45:00 - 01/01/2025 04:00:00","BZN|HU","2605.74","2761.23"," "
"01/01/2025 04:00:00 - 01/01/2025 04:15:00","BZN|HU","2605.10","2797.91"," "
"01/01/2025 04:15:00 - 01/01/2025 04:30:00","BZN|HU","2605.21","2792.08"," "
"01/01/2025 04:30:00 - 01/01/2025 04:45:00","BZN|HU","2614.00","2804.32"," "
"01/01/2025 04:45:00 - 01/01/2025 05:00:00","BZN|HU","2619.93","2821.46"," "
"01/01/2025 05:00:00 - 01/01/2025 05:15:00","BZN|HU","2605.10","2834.76"," "
"01/01/2025 05:15:00 - 01/01/2025 05:30:00","BZN|HU","2605.09","2796.79"," "
"01/01/2025 05:30:00 - 01/01/2025 05:45:00","BZN|HU","2620.13","2822.04"," "
"01/01/2025 05:45:00 - 01/01/2025 06:00:00","BZN|HU","2621.24","2799.18"," "
"01/01/2025 06:00:00 - 01/01/2025 06:15:00","BZN|HU","2610.02","2752.45"," "
"01/01/2025 06:15:00 - 01/01/2025 06:30:00","BZN|HU","2610.19","2742.30"," "
"01/01/2025 06:30:00 - 01/01/2025 06:45:00","BZN|HU","2625.88","2747.94"," "
"01/01/2025 06:45:00 - 01/01/2025 07:00:00","BZN|HU","2627.57","2758.90"," "
"01/01/2025 07:00:00 - 01/01/2025 07:15:00","BZN|HU","2654.61","2798.65"," "
"01/01/2025 07:15:00 - 01/01/2025 07:30:00","BZN|HU","2655.87","2790.21"," "
"01/01/2025 07:30:00 - 01/01/2025 07:45:00","BZN|HU","2677.37","2793.09"," "
"01/01/2025 07:45:00 - 01/01/2025 08:00:00","BZN|HU","2702.10","2799.42"," "
"01/01/2025 08:00:00 - 01/01/2025 08:15:00","BZN|HU","2831.59","2849.91"," "
"01/01/2025 08:15:00 - 01/01/2025 08:30:00","BZN|HU","2866.46","2801.84"," "
"01/01/2025 08:30:00 - 01/01/2025 08:45:00","BZN|HU","2902.39","2783.80"," "
"01/01/2025 08:45:00 - 01/01/2025 09:00:00","BZN|HU","2944.20","2779.58"," "
"01/01/2025 09:00:00 - 01/01/2025 09:15:00","BZN|HU","2993.52","2824.50"," "
"01/01/2025 09:15:00 - 01/01/2025 09:30:00","BZN|HU","3041.59","2825.30"," "
"01/01/2025 09:30:00 - 01/01/2025 09:45:00","BZN|HU","3068.86","2838.40"," "
"01/01/2025 09:45:00 - 01/01/2025 10:00:00","BZN|HU","3111.08","2859.00"," "
"01/01/2025 10:00:00 - 01/01/2025 10:15:00","BZN|HU","3146.75","2920.17"," "
