"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","BZN|HR","Without Sequence","101.39","",""
"01/01/2026 00:15:00 - 01/01/2026 00:30:00","BZN|HR","Without Sequence","95.16","",""
"01/01/2026 00:30:00 - 01/01/2026 00:45:00","BZN|HR","Without Sequence","93.42","",""
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","BZN|HR","Without Sequence","88.39","",""
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","BZN|HR","Without Sequence","95.28","",""
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","BZN|HR","Without Sequence","93.42","",""
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","BZN|HR","Without Sequence","91.38","",""
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","BZN|HR","Without Sequence","84.50","",""
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","BZN|HR","Without Sequence","95.95","",""
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","BZN|HR","Without Sequence","87.52","",""
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","BZN|HR","Without Sequence","84.72","",""
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","BZN|HR","Without Sequence","77.03","",""
"01/01/2026 03:00:00 - 01/01/2026 03:15:00","BZN|HR","Without Sequence","81.05","",""
"01/01/2026 03:15:00 - 01/01/2026 03:30:00","BZN|HR","Without Sequence","75.96","",""
"01/01/2026 03:30:00 - 01/01/2026 03:45:00","BZN|HR","Without Sequence","63.84","",""
"01/01/2026 03:45:00 - 01/01/2026 04:00:00","BZN|HR","Without Sequence","65.32","",""
"01/01/2026 04:00:00 - 01/01/2026 04:15:00","BZN|HR","Without Sequence","60.86","",""
"01/01/2026 04:15:00 - 01/01/2026 04:30:00","BZN|HR","Without Sequence","58.20","",""
"01/01/2026 04:30:00 - 01/01/2026 04:45:00","BZN|HR","Without Sequence","61.20","",""
"01/01/2026 04:45:00 - 01/01/2026 05:00:00","BZN|HR","Without Sequence","64.30","",""
"01/01/2026 05:00:00 - 01/01/2026 05:15:00","BZN|HR","Without Sequence","50.50","",""
"01/01/2026 05:15:00 - 01/01/2026 05:30:00","BZN|HR","Without Sequence","59.18","",""
"01/01/2026 05:30:00 - 01/01/2026 05:45:00","BZN|HR","Without Sequence","74.58","",""
"01/01/2026 05:45:00 - 01/01/2026 06:00:00","BZN|HR","Without Sequence","71.79","",""
"01/01/2026 06:00:00 - 01/01/2026 06:15:00","BZN|HR","Without Sequence","58.89","",""
"01/01/2026 06:15:00 - 01/01/2026 06:30:00","BZN|HR","Without Sequence","60.27","",""
"01/01/2026 06:30:00 - 01/01/2026 06:45:00","BZN|HR","Without Sequence","65.01","",""
"01/01/2026 06:45:00 - 01/01/2026 07:00:00","BZN|HR","Without Sequence","68.71","",""
"01/01/2026 07:00:00 - 01/01/2026 07:15:00","BZN|HR","Without Sequence","68.85","",""
"01/01/2026 07:15:00 - 01/01/2026 07:30:00","BZN|HR","Without Sequence","77.83","",""
"01/01/2026 07:30:00 - 01/01/2026 07:45:00","BZN|HR","Without Sequence","62.59","",""
"01/01/2026 07:45:00 - 01/01/2026 08:00:00","BZN|HR","Without Sequence","48.70","",""
