"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2024 00:00:00 - 01/01/2024 00:15:00","BZN|HR","535.37","544.57","544.57","780.80"
"01/01/2024 00:15:00 - 01/01/2024 00:30:00","BZN|HR","535.37","544.57","544.57","767.20"
"01/01/2024 00:30:00 - 01/01/2024 00:45:00","BZN|HR","535.37","544.57","544.57","760.00"
"01/01/2024 00:45:00 - 01/01/2024 01:00:00","BZN|HR","535.37","544.57","544.57","741.20"
"01/01/2024 01:00:00 - 01/01/2024 01:15:00","BZN|HR","556.17","579.27","579.27","737.20"
"01/01/2024 01:15:00 - 01/01/2024 01:30:00","BZN|HR","556.17","579.27","579.27","736.40"
"01/01/2024 01:30:00 - 01/01/2024 01:45:00","BZN|HR","556.17","579.27","579.27","746.00"
"01/01/2024 01:45:00 - 01/01/2024 02:00:00","BZN|HR","556.17","579.27","579.27","741.20"
"01/01/2024 02:00:00 - 01/01/2024 02:15:00","BZN|HR","577.08","620.38","620.38","740.40"
"01/01/2024 02:15:00 - 01/01/2024 02:30:00","BZN|HR","577.08","620.38","620.38","781.20"
"01/01/2024 02:30:00 - 01/01/2024 02:45:00","BZN|HR","577.08","620.38","620.38","798.40"
"01/01/2024 02:45:00 - 01/01/2024 03:00:00","BZN|HR","577.08","620.38","620.38","804.40"
"01/01/2024 03:00:00 - 01/01/2024 03:15:00","BZN|HR","574.80","619.20","619.20","803.20"
"01/01/2024 03:15:00 - 01/01/2024 03:30:00","BZN|HR","574.80","619.20","619.20","808.80"
"01/01/2024 03:30:00 - 01/01/2024 03:45:00","BZN|HR","574.80","619.20","619.20","816.80"
"01/01/2024 03:45:00 - 01/01/2024 04:00:00","BZN|HR","574.80","619.20","619.20","832.80"
"01/01/2024 04:00:00 - 01/01/2024 04:15:00","BZN|HR","579.57","606.67","606.67","847.60"
"01/01/2024 04:15:00 - 01/01/2024 04:30:00","BZN|HR","579.57","606.67","606.67","844.00"
"01/01/2024 04:30:00 - 01/01/2024 04:45:00","BZN|HR","579.57","606.67","606.67","861.60"
"01/01/2024 04:45:00 - 01/01/2024 05:00:00","BZN|HR","579.57","606.67","606.67","840.00"
"01/01/2024 05:00:00 - 01/01/2024 05:15:00","BZN|HR","566.02","607.72","607.72","796.80"
"01/01/2024 05:15:00 - 01/01/2024 05:30:00","BZN|HR","566.02","607.72","607.72","783.60"
"01/01/2024 05:30:00 - 01/01/2024 05:45:00","BZN|HR","566.02","607.72","607.72","758.00"
"01/01/2024 05:45:00 - 01/01/2024 06:00:00","BZN|HR","566.02","607.72","607.72","804.40"
"01/01/2024 06:00:00 - 01/01/2024 06:15:00","BZN|HR","520.08","564.78","564.78","819.20"
"01/01/2024 06:15:00 - 01/01/2024 06:30:00","BZN|HR","520.08","564.78","564.78","811.20"
"01/01/2024 06:30:00 - 01/01/2024 06:45:00","BZN|HR","520.08","564.78","564.78","810.80"
"01/01/2024 06:45:00 - 01/01/2024 07:00:00","BZN|HR","520.08","564.78","564.78","793.20"
"01/01/2024 07:00:00 - 01/01/2024 07:15:00","BZN|HR","435.92","435.82","434.62","731.20"
