"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|HU","Without Sequence","0.10","",""
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|HU","Without Sequence","0.01","",""
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|HU","Without Sequence","0.04","",""
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|HU","Without Sequence","0.01","",""
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|HU","Without Sequence","0.01","",""
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|HU","Without Sequence","0.01","",""
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|HU","Without Sequence","0.04","",""
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|HU","Without Sequence","0.01","",""
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|HU","Without Sequence","0.00","",""
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|HU","Without Sequence","0.04","",""
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|HU","Without Sequence","0.06","",""
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|HU","Without Sequence","0.54","",""
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|HU","Without Sequence","2.24","",""
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|HU","Without Sequence","3.22","",""
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|HU","Without Sequence","9.73","",""
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|HU","Without Sequence","38.66","",""
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|HU","Without Sequence","53.17","",""
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|HU","Without Sequence","61.26","",""
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|HU","Without Sequence","60.70","",""
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|HU","Without Sequence","54.94","",""
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|HU","Without Sequence","48.47","",""
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|HU","Without Sequence","40.60","",""
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|HU","Without Sequence","44.92","",""
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|HU","Without Sequence","35.55","",""
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|HU","Without Sequence","29.48","",""
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|HU","Without Sequence","19.67","",""
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|HU","Without Sequence","27.92","",""
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|HU","Without Sequence","16.54","",""
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|HU","Without Sequence","9.95","",""
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|HU","Without Sequence","38.51","",""
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|HU","Without Sequence","46.22","",""
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|HU","Without Sequence","73.84","",""
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","BZN|HU","Without Sequence","77.86","",""
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","BZN|HU","Without Sequence","76.31","",""
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","BZN|HU","Without Sequence","75.65","",""
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","BZN|HU","Without Sequence","78.00","",""
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","BZN|HU","Without Sequence","80.54","",""
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","BZN|HU","Without Sequence","81.55","",""
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","BZN|HU","Without Sequence","84.21","",""
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","BZN|HU","Without Sequence","85.59","",""
"02/01/2024 16:00:00 - 02/01/2024 17:00:00","BZN|HU","Without Sequence","88.12","",""
"02/01/2024 17:00:00 - 02/01/2024 18:00:00","BZN|HU","Without Sequence","86.21","",""
"02/01/2024 18:00:00 - 02/01/2024 19:00:00","BZN|HU","Without Sequence","81.53","",""
"02/01/2024 19:00:00 - 02/01/2024 20:00:00","BZN|HU","Without Sequence","75.01","",""
"02/01/2024 20:00:00 - 02/01/2024 21:00:00","BZN|HU","Without Sequence","59.91","",""
"02/01/2024 21:00:00 - 02/01/2024 22:00:00","BZN|HU","Without Sequence","47.98","",""
"02/01/2024 22:00:00 - 02/01/2024 23:00:00","BZN|HU","Without Sequence","41.04","",""
"02/01/2024 23:00:00 - 03/01/2024 00:00:00","BZN|HU","Without Sequence","25.48","",""
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","BZN|HU","Without Sequence","19.20","",""
"03/01/2024 01:00:00 - 03/01/2024 02:00:00","BZN|HU","Without Sequence","17.93","",""
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","BZN|HU","Without Sequence","17.04","",""
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","BZN|HU","Without Sequence","16.62","",""
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","BZN|HU","Without Sequence","17.58","",""
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","BZN|HU","Without Sequence","19.71","",""
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|HU","Without Sequence","34.36","",""
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|HU","Without Sequence","46.28","",""
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|HU","Without Sequence","62.64","",""
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|HU","Without Sequence","65.04","",""
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|HU","Without Sequence","59.95","",""
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|HU","Without Sequence","57.89","",""
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|HU","Without Sequence","57.05","",""
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|HU","Without Sequence","56.82","",""
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|HU","Without Sequence","62.87","",""
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|HU","Without Sequence","72.17","",""
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|HU","Without Sequence","79.61","",""
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","BZN|HU","Without Sequence","84.84","",""
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","BZN|HU","Without Sequence","85.61","",""
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","BZN|HU","Without Sequence","83.09","",""
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","BZN|HU","Without Sequence","73.23","",""
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","BZN|HU","Without Sequence","67.41","",""
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","BZN|HU","Without Sequence","65.00","",""
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","BZN|HU","Without Sequence","58.12","",""
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","BZN|HU","Without Sequence","57.30","",""
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","BZN|HU","Without Sequence","50.46","",""
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","BZN|HU","Without Sequence","40.00","",""
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","BZN|HU","Without Sequence","25.48","",""
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","BZN|HU","Without Sequence","35.00","",""
"04/01/2024 05:00:00 - 04/01/2024 06:00:00","BZN|HU","Without Sequence","57.73","",""
"04/01/2024 06:00:00 - 04/01/2024 07:00:00","BZN|HU","Without Sequence","72.65","",""
"04/01/2024 07:00:00 - 04/01/2024 08:00:00","BZN|HU","Without Sequence","85.02","",""
"04/01/2024 08:00:00 - 04/01/2024 09:00:00","BZN|HU","Without Sequence","91.47","",""
"04/01/2024 09:00:00 - 04/01/2024 10:00:00","BZN|HU","Without Sequence","94.20","",""
"04/01/2024 10:00:00 - 04/01/2024 11:00:00","BZN|HU","Without Sequence","92.78","",""
"04/01/2024 11:00:00 - 04/01/2024 12:00:00","BZN|HU","Without Sequence","91.34","",""
"04/01/2024 12:00:00 - 04/01/2024 13:00:00","BZN|HU","Without Sequence","87.38","",""
"04/01/2024 13:00:00 - 04/01/2024 14:00:00","BZN|HU","Without Sequence","85.96","",""
"04/01/2024 14:00:00 - 04/01/2024 15:00:00","BZN|HU","Without Sequence","92.11","",""
"04/01/2024 15:00:00 - 04/01/2024 16:00:00","BZN|HU","Without Sequence","98.62","",""
"04/01/2024 16:00:00 - 04/01/2024 17:00:00","BZN|HU","Without Sequence","104.56","",""
"04/01/2024 17:00:00 - 04/01/2024 18:00:00","BZN|HU","Without Sequence","112.82","",""
"04/01/2024 18:00:00 - 04/01/2024 19:00:00","BZN|HU","Without Sequence","114.65","",""
"04/01/2024 19:00:00 - 04/01/2024 20:00:00","BZN|HU","Without Sequence","110.59","",""
"04/01/2024 20:00:00 - 04/01/2024 21:00:00","BZN|HU","Without Sequence","101.03","",""
"04/01/2024 21:00:00 - 04/01/2024 22:00:00","BZN|HU","Without Sequence","95.05","",""
"04/01/2024 22:00:00 - 04/01/2024 23:00:00","BZN|HU","Without Sequence","92.01","",""
"04/01/2024 23:00:00 - 05/01/2024 00:00:00","BZN|HU","Without Sequence","88.64","",""
"05/01/2024 00:00:00 - 05/01/2024 01:00:00","BZN|HU","Without Sequence","86.08","",""
"05/01/2024 01:00:00 - 05/01/2024 02:00:00","BZN|HU","Without Sequence","80.51","",""
"05/01/2024 02:00:00 - 05/01/2024 03:00:00","BZN|HU","Without Sequence","77.01","",""
"05/01/2024 03:00:00 - 05/01/2024 04:00:00","BZN|HU","Without Sequence","72.98","",""
