"MTU (CET/CEST)","Area","Generation Forecast (MW)","Actual Generation (MW)","Scheduled Consumption (MW)"
"01/01/2024 00:00:00 - 01/01/2024 00:15:00","BZN|HU","2657.57","2721.39"," "
"01/01/2024 00:15:00 - 01/01/2024 00:30:00","BZN|HU","2643.41","2743.90"," "
"01/01/2024 00:30:00 - 01/01/2024 00:45:00","BZN|HU","2640.24","2774.64"," "
"01/01/2024 00:45:00 - 01/01/2024 01:00:00","BZN|HU","2638.35","2691.01"," "
"01/01/2024 01:00:00 - 01/01/2024 01:15:00","BZN|HU","2493.69","2604.08"," "
"01/01/2024 01:15:00 - 01/01/2024 01:30:00","BZN|HU","2392.06","2542.48"," "
"01/01/2024 01:30:00 - 01/01/2024 01:45:00","BZN|HU","2390.58","2489.85"," "
"01/01/2024 01:45:00 - 01/01/2024 02:00:00","BZN|HU","2389.98","2418.77"," "
"01/01/2024 02:00:00 - 01/01/2024 02:15:00","BZN|HU","2411.64","2462.67"," "
"01/01/2024 02:15:00 - 01/01/2024 02:30:00","BZN|HU","2410.88","2539.89"," "
"01/01/2024 02:30:00 - 01/01/2024 02:45:00","BZN|HU","2412.61","2527.52"," "
"01/01/2024 02:45:00 - 01/01/2024 03:00:00","BZN|HU","2362.61","2429.20"," "
"01/01/2024 03:00:00 - 01/01/2024 03:15:00","BZN|HU","2227.51","2375.20"," "
"01/01/2024 03:15:00 - 01/01/2024 03:30:00","BZN|HU","2160.44","2370.90"," "
"01/01/2024 03:30:00 - 01/01/2024 03:45:00","BZN|HU","2160.88","2323.05"," "
"01/01/2024 03:45:00 - 01/01/2024 04:00:00","BZN|HU","2160.92","2313.38"," "
"01/01/2024 04:00:00 - 01/01/2024 04:15:00","BZN|HU","2169.71","2331.31"," "
"01/01/2024 04:15:00 - 01/01/2024 04:30:00","BZN|HU","2172.46","2394.72"," "
"01/01/2024 04:30:00 - 01/01/2024 04:45:00","BZN|HU","2176.24","2388.93"," "
"01/01/2024 04:45:00 - 01/01/2024 05:00:00","BZN|HU","2175.43","2389.61"," "
"01/01/2024 05:00:00 - 01/01/2024 05:15:00","BZN|HU","2176.35","2400.80"," "
