"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2024 00:00:00 - 01/01/2024 00:15:00","BZN|HU","89.30","84.67","70.58","99.67"
"01/01/2024 00:15:00 - 01/01/2024 00:30:00","BZN|HU","85.59","85.13","91.06","103.39"
"01/01/2024 00:30:00 - 01/01/2024 00:45:00","BZN|HU","81.89","85.59","89.00","76.48"
"01/01/2024 00:45:00 - 01/01/2024 01:00:00","BZN|HU","78.18","74.57","89.00","51.37"
"01/01/2024 01:00:00 - 01/01/2024 01:15:00","BZN|HU","75.31","74.17","84.36","44.46"
"01/01/2024 01:15:00 - 01/01/2024 01:30:00","BZN|HU","73.27","71.97","68.33","44.47"
"01/01/2024 01:30:00 - 01/01/2024 01:45:00","BZN|HU","71.23","71.96","70.10","60.24"
"01/01/2024 01:45:00 - 01/01/2024 02:00:00","BZN|HU","69.19","80.21","71.87","75.18"
"01/01/2024 02:00:00 - 01/01/2024 02:15:00","BZN|HU","67.32","79.95","73.27","57.98"
"01/01/2024 02:15:00 - 01/01/2024 02:30:00","BZN|HU","65.63","81.11","65.88","55.56"
"01/01/2024 02:30:00 - 01/01/2024 02:45:00","BZN|HU","63.94","80.31","67.96","63.41"
"01/01/2024 02:45:00 - 01/01/2024 03:00:00","BZN|HU","62.25","76.77","70.03","55.51"
"01/01/2024 03:00:00 - 01/01/2024 03:15:00","BZN|HU","64.18","79.56","73.18","71.76"
"01/01/2024 03:15:00 - 01/01/2024 03:30:00","BZN|HU","69.71","83.99","76.00","72.55"
"01/01/2024 03:30:00 - 01/01/2024 03:45:00","BZN|HU","75.25","87.97","81.29","93.59"
"01/01/2024 03:45:00 - 01/01/2024 04:00:00","BZN|HU","80.79","85.79","86.57","122.79"
"01/01/2024 04:00:00 - 01/01/2024 04:15:00","BZN|HU","84.36","90.43","91.51","122.62"
"01/01/2024 04:15:00 - 01/01/2024 04:30:00","BZN|HU","85.96","95.51","105.82","122.60"
"01/01/2024 04:30:00 - 01/01/2024 04:45:00","BZN|HU","87.56","100.58","109.56","120.72"
"01/01/2024 04:45:00 - 01/01/2024 05:00:00","BZN|HU","89.17","105.26","113.30","121.12"
"01/01/2024 05:00:00 - 01/01/2024 05:15:00","BZN|HU","90.66","107.09","116.39","130.75"
"01/01/2024 05:15:00 - 01/01/2024 05:30:00","BZN|HU","92.03","106.17","112.40","129.95"
"01/01/2024 05:30:00 - 01/01/2024 05:45:00","BZN|HU","93.41","105.24","109.57","117.91"
"01/01/2024 05:45:00 - 01/01/2024 06:00:00","BZN|HU","94.78","107.56","106.04","90.16"
"01/01/2024 06:00:00 - 01/01/2024 06:15:00","BZN|HU","94.87","106.42","104.39","73.11"
"01/01/2024 06:15:00 - 01/01/2024 06:30:00","BZN|HU","93.67","106.32","101.23","72.72"
