"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2024 00:00 - 01/01/2024 00:15","BZN|HU","4294.53","4066.00"
"01/01/2024 00:15 - 01/01/2024 00:30","BZN|HU","4271.58","4013.00"
"01/01/2024 00:30 - 01/01/2024 00:45","BZN|HU","4263.23","3964.00"
"01/01/2024 00:45 - 01/01/2024 01:00","BZN|HU","4211.04","3917.00"
"01/01/2024 01:00 - 01/01/2024 01:15","BZN|HU","4222.31","3873.00"
"01/01/2024 01:15 - 01/01/2024 01:30","BZN|HU","4152.70","3831.00"
"01/01/2024 01:30 - 01/01/2024 01:45","BZN|HU","4087.24","3790.00"
"01/01/2024 01:45 - 01/01/2024 02:00","BZN|HU","4025.78","3751.00"
"01/01/2024 02:00 - 01/01/2024 02:15","BZN|HU","3952.57","3713.00"
"01/01/2024 02:15 - 01/01/2024 02:30","BZN|HU","3912.75","3676.00"
"01/01/2024 02:30 - 01/01/2024 02:45","BZN|HU","3888.90","3640.00"
"01/01/2024 02:45 - 01/01/2024 03:00","BZN|HU","3809.79","3605.00"
"01/01/2024 03:00 - 01/01/2024 03:15","BZN|HU","3789.07","3572.00"
"01/01/2024 03:15 - 01/01/2024 03:30","BZN|HU","3752.43","3546.00"
"01/01/2024 03:30 - 01/01/2024 03:45","BZN|HU","3718.77","3530.00"
"01/01/2024 03:45 - 01/01/2024 04:00","BZN|HU","3670.02","3522.00"
"01/01/2024 04:00 - 01/01/2024 04:15","BZN|HU","3693.00","3521.00"
"01/01/2024 04:15 - 01/01/2024 04:30","BZN|HU","3685.50","3517.00"
"01/01/2024 04:30 - 01/01/2024 04:45","BZN|HU","3675.46","3509.00"
"01/01/2024 04:45 - 01/01/2024 05:00","BZN|HU","3686.58","3497.00"
"01/01/2024 05:00 - 01/01/2024 05:15","BZN|HU","3709.93","3485.00"
"01/01/2024 05:15 - 01/01/2024 05:30","BZN|HU","3715.77","3491.00"
"01/01/2024 05:30 - 01/01/2024 05:45","BZN|HU","3713.64","3520.00"
"01/01/2024 05:45 - 01/01/2024 06:00","BZN|HU","3719.08","3572.00"
"01/01/2024 06:00 - 01/01/2024 06:15","BZN|HU","3796.33","3641.00"
"01/01/2024 06:15 - 01/01/2024 06:30","BZN|HU","3816.27","3703.00"
"01/01/2024 06:30 - 01/01/2024 06:45","BZN|HU","3829.35","3752.00"
"01/01/2024 06:45 - 01/01/2024 07:00","BZN|HU","3848.73","3789.00"
"01/01/2024 07:00 - 01/01/2024 07:15","BZN|HU","3919.03","3816.00"
"01/01/2024 07:15 - 01/01/2024 07:30","BZN|HU","3928.30","3850.00"
"01/01/2024 07:30 - 01/01/2024 07:45","BZN|HU","3918.85","3894.00"
"01/01/2024 07:45 - 01/01/2024 08:00","BZN|HU","3947.91","3949.00"
"01/01/2024 08:00 - 01/01/2024 08:15","BZN|HU","3995.05","4011.00"
"01/01/2024 08:15 - 01/01/2024 08:30","BZN|HU","4072.91","4071.00"
"01/01/2024 08:30 - 01/01/2024 08:45","BZN|HU","4098.87","4124.00"
"01/01/2024 08:45 - 01/01/2024 09:00","BZN|HU","4152.66","4171.00"
"01/01/2024 09:00 - 01/01/2024 09:15","BZN|HU","4227.42","4213.00"
"01/01/2024 09:15 - 01/01/2024 09:30","BZN|HU","4274.29","4247.00"
"01/01/2024 09:30 - 01/01/2024 09:45","BZN|HU","4274.58","4274.00"
"01/01/2024 09:45 - 01/01/2024 10:00","BZN|HU","4308.54","4294.00"
"01/01/2024 10:00 - 01/01/2024 10:15","BZN|HU","4333.16","4308.00"
"01/01/2024 10:15 - 01/01/2024 10:30","BZN|HU","4318.27","4322.00"
"01/01/2024 10:30 - 01/01/2024 10:45","BZN|HU","4257.13","4338.00"
"01/01/2024 10:45 - 01/01/2024 11:00","BZN|HU","4246.56","4355.00"
"01/01/2024 11:00 - 01/01/2024 11:15","BZN|HU","4210.10","4371.00"
"01/01/2024 11:15 - 01/01/2024 11:30","BZN|HU","4154.13","4374.00"
"01/01/2024 11:30 - 01/01/2024 11:45","BZN|HU","4099.95","4362.00"
"01/01/2024 11:45 - 01/01/2024 12:00","BZN|HU","4118.80","4336.00"
"01/01/2024 12:00 - 01/01/2024 12:15","BZN|HU","4141.74","4297.00"
"01/01/2024 12:15 - 01/01/2024 12:30","BZN|HU","4174.42","4256.00"
"01/01/2024 12:30 - 01/01/2024 12:45","BZN|HU","4170.85","4217.00"
"01/01/2024 12:45 - 01/01/2024 13:00","BZN|HU","4170.94","4179.00"
"01/01/2024 13:00 - 01/01/2024 13:15","BZN|HU","4149.18","4145.00"
"01/01/2024 13:15 - 01/01/2024 13:30","BZN|HU","4169.70","4123.00"
"01/01/2024 13:30 - 01/01/2024 13:45","BZN|HU","4206.29","4117.00"
"01/01/2024 13:45 - 01/01/2024 14:00","BZN|HU","4196.35","4126.00"
"01/01/2024 14:00 - 01/01/2024 14:15","BZN|HU","4236.47","4149.00"
"01/01/2024 14:15 - 01/01/2024 14:30","BZN|HU","4294.59","4177.00"
"01/01/2024 14:30 - 01/01/2024 14:45","BZN|HU","4376.60","4208.00"
"01/01/2024 14:45 - 01/01/2024 15:00","BZN|HU","4429.39","4243.00"
"01/01/2024 15:00 - 01/01/2024 15:15","BZN|HU","4476.42","4283.00"
"01/01/2024 15:15 - 01/01/2024 15:30","BZN|HU","4553.18","4334.00"
"01/01/2024 15:30 - 01/01/2024 15:45","BZN|HU","4625.76","4398.00"
"01/01/2024 15:45 - 01/01/2024 16:00","BZN|HU","4723.87","4476.00"
"01/01/2024 16:00 - 01/01/2024 16:15","BZN|HU","4787.54","4561.00"
"01/01/2024 16:15 - 01/01/2024 16:30","BZN|HU","4901.75","4632.00"
"01/01/2024 16:30 - 01/01/2024 16:45","BZN|HU","4987.69","4685.00"
"01/01/2024 16:45 - 01/01/2024 17:00","BZN|HU","5000.60","4719.00"
"01/01/2024 17:00 - 01/01/2024 17:15","BZN|HU","5032.41","4737.00"
"01/01/2024 17:15 - 01/01/2024 17:30","BZN|HU","5011.61","4747.00"
"01/01/2024 17:30 - 01/01/2024 17:45","BZN|HU","5015.74","4754.00"
"01/01/2024 17:45 - 01/01/2024 18:00","BZN|HU","5023.27","4757.00"
"01/01/2024 18:00 - 01/01/2024 18:15","BZN|HU","5047.04","4757.00"
"01/01/2024 18:15 - 01/01/2024 18:30","BZN|HU","5007.97","4757.00"
"01/01/2024 18:30 - 01/01/2024 18:45","BZN|HU","5035.85","4757.00"
"01/01/2024 18:45 - 01/01/2024 19:00","BZN|HU","5057.56","4759.00"
"01/01/2024 19:00 - 01/01/2024 19:15","BZN|HU","5059.61","4761.00"
"01/01/2024 19:15 - 01/01/2024 19:30","BZN|HU","5037.94","4759.00"
"01/01/2024 19:30 - 01/01/2024 19:45","BZN|HU","5048.76","4751.00"
"01/01/2024 19:45 - 01/01/2024 20:00","BZN|HU","5017.16","4738.00"
"01/01/2024 20:00 - 01/01/2024 20:15","BZN|HU","4998.13","4719.00"
"01/01/2024 20:15 - 01/01/2024 20:30","BZN|HU","4968.55","4695.00"
"01/01/2024 20:30 - 01/01/2024 20:45","BZN|HU","4955.88","4665.00"
"01/01/2024 20:45 - 01/01/2024 21:00","BZN|HU","4915.89","4630.00"
"01/01/2024 21:00 - 01/01/2024 21:15","BZN|HU","4864.93","4590.00"
"01/01/2024 21:15 - 01/01/2024 21:30","BZN|HU","4838.13","4554.00"
"01/01/2024 21:30 - 01/01/2024 21:45","BZN|HU","4780.72","4523.00"
"01/01/2024 21:45 - 01/01/2024 22:00","BZN|HU","4723.54","4497.00"
"01/01/2024 22:00 - 01/01/2024 22:15","BZN|HU","4659.89","4472.00"
"01/01/2024 22:15 - 01/01/2024 22:30","BZN|HU","4627.51","4436.00"
"01/01/2024 22:30 - 01/01/2024 22:45","BZN|HU","4554.49","4384.00"
"01/01/2024 22:45 - 01/01/2024 23:00","BZN|HU","4487.36","4318.00"
"01/01/2024 23:00 - 01/01/2024 23:15","BZN|HU","4406.94","4242.00"
"01/01/2024 23:15 - 01/01/2024 23:30","BZN|HU","4331.94","4182.00"
"01/01/2024 23:30 - 01/01/2024 23:45","BZN|HU","4313.10","4145.00"
