"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","BZN|PL","Without Sequence","109.53","",""
"01/01/2026 00:15:00 - 01/01/2026 00:30:00","BZN|PL","Without Sequence","107.86","",""
"01/01/2026 00:30:00 - 01/01/2026 00:45:00","BZN|PL","Without Sequence","101.61","",""
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","BZN|PL","Without Sequence","80.43","",""
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","BZN|PL","Without Sequence","107.86","",""
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","BZN|PL","Without Sequence","96.77","",""
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","BZN|PL","Without Sequence","75.70","",""
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","BZN|PL","Without Sequence","64.00","",""
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","BZN|PL","Without Sequence","80.43","",""
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","BZN|PL","Without Sequence","82.78","",""
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","BZN|PL","Without Sequence","85.63","",""
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","BZN|PL","Without Sequence","98.90","",""
"01/01/2026 03:00:00 - 01/01/2026 03:15:00","BZN|PL","Without Sequence","96.87","",""
"01/01/2026 03:15:00 - 01/01/2026 03:30:00","BZN|PL","Without Sequence","80.81","",""
"01/01/2026 03:30:00 - 01/01/2026 03:45:00","BZN|PL","Without Sequence","45.00","",""
"01/01/2026 03:45:00 - 01/01/2026 04:00:00","BZN|PL","Without Sequence","58.34","",""
"01/01/2026 04:00:00 - 01/01/2026 04:15:00","BZN|PL","Without Sequence","34.42","",""
"01/01/2026 04:15:00 - 01/01/2026 04:30:00","BZN|PL","Without Sequence","28.55","",""
"01/01/2026 04:30:00 - 01/01/2026 04:45:00","BZN|PL","Without Sequence","29.92","",""
"01/01/2026 04:45:00 - 01/01/2026 05:00:00","BZN|PL","Without Sequence","34.01","",""
"01/01/2026 05:00:00 - 01/01/2026 05:15:00","BZN|PL","Without Sequence","33.40","",""
"01/01/2026 05:15:00 - 01/01/2026 05:30:00","BZN|PL","Without Sequence","26.21","",""
"01/01/2026 05:30:00 - 01/01/2026 05:45:00","BZN|PL","Without Sequence","45.36","",""
"01/01/2026 05:45:00 - 01/01/2026 06:00:00","BZN|PL","Without Sequence","34.44","",""
"01/01/2026 06:00:00 - 01/01/2026 06:15:00","BZN|PL","Without Sequence","20.62","",""
"01/01/2026 06:15:00 - 01/01/2026 06:30:00","BZN|PL","Without Sequence","17.79","",""
"01/01/2026 06:30:00 - 01/01/2026 06:45:00","BZN|PL","Without Sequence","23.52","",""
"01/01/2026 06:45:00 - 01/01/2026 07:00:00","BZN|PL","Without Sequence","26.59","",""
"01/01/2026 07:00:00 - 01/01/2026 07:15:00","BZN|PL","Without Sequence","1.19","",""
"01/01/2026 07:15:00 - 01/01/2026 07:30:00","BZN|PL","Without Sequence","-0.11","",""
"01/01/2026 07:30:00 - 01/01/2026 07:45:00","BZN|PL","Without Sequence","-0.17","",""
"01/01/2026 07:45:00 - 01/01/2026 08:00:00","BZN|PL","Without Sequence","-0.24","",""
"01/01/2026 08:00:00 - 01/01/2026 08:15:00","BZN|PL","Without Sequence","-0.17","",""
"01/01/2026 08:15:00 - 01/01/2026 08:30:00","BZN|PL","Without Sequence","-0.82","",""
"01/01/2026 08:30:00 - 01/01/2026 08:45:00","BZN|PL","Without Sequence","-4.73","",""
"01/01/2026 08:45:00 - 01/01/2026 09:00:00","BZN|PL","Without Sequence","-3.69","",""
"01/01/2026 09:00:00 - 01/01/2026 09:15:00","BZN|PL","Without Sequence","-0.15","",""
"01/01/2026 09:15:00 - 01/01/2026 09:30:00","BZN|PL","Without Sequence","-0.20","",""
"01/01/2026 09:30:00 - 01/01/2026 09:45:00","BZN|PL","Without Sequence","-0.18","",""
"01/01/2026 09:45:00 - 01/01/2026 10:00:00","BZN|PL","Without Sequence","-0.18","",""
"01/01/2026 10:00:00 - 01/01/2026 10:15:00","BZN|PL","Without Sequence","-0.22","",""
"01/01/2026 10:15:00 - 01/01/2026 10:30:00","BZN|PL","Without Sequence","-0.20","",""
"01/01/2026 10:30:00 - 01/01/2026 10:45:00","BZN|PL","Without Sequence","-0.18","",""
"01/01/2026 10:45:00 - 01/01/2026 11:00:00","BZN|PL","Without Sequence","-0.17","",""
"01/01/2026 11:00:00 - 01/01/2026 11:15:00","BZN|PL","Without Sequence","-0.13","",""
"01/01/2026 11:15:00 - 01/01/2026 11:30:00","BZN|PL","Without Sequence","-0.10","",""
"01/01/2026 11:30:00 - 01/01/2026 11:45:00","BZN|PL","Without Sequence","-0.09","",""
"01/01/2026 11:45:00 - 01/01/2026 12:00:00","BZN|PL","Without Sequence","-0.09","",""
"01/01/2026 12:00:00 - 01/01/2026 12:15:00","BZN|PL","Without Sequence","-0.14","",""
