"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2023 00:00:00 - 01/01/2023 00:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 00:15:00 - 01/01/2023 00:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 00:30:00 - 01/01/2023 00:45:00","BZN|HU","0.00","0.00","0.00","0.01"
"01/01/2023 00:45:00 - 01/01/2023 01:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 01:00:00 - 01/01/2023 01:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 01:15:00 - 01/01/2023 01:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 01:30:00 - 01/01/2023 01:45:00","BZN|HU","0.00","0.00","0.00","0.01"
"01/01/2023 01:45:00 - 01/01/2023 02:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 02:00:00 - 01/01/2023 02:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 02:15:00 - 01/01/2023 02:30:00","BZN|HU","0.00","0.00","0.00","0.01"
"01/01/2023 02:30:00 - 01/01/2023 02:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 02:45:00 - 01/01/2023 03:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 03:00:00 - 01/01/2023 03:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 03:15:00 - 01/01/2023 03:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 03:30:00 - 01/01/2023 03:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 03:45:00 - 01/01/2023 04:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 04:00:00 - 01/01/2023 04:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 04:15:00 - 01/01/2023 04:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 04:30:00 - 01/01/2023 04:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 04:45:00 - 01/01/2023 05:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 05:00:00 - 01/01/2023 05:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 05:15:00 - 01/01/2023 05:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 05:30:00 - 01/01/2023 05:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 05:45:00 - 01/01/2023 06:00:00","BZN|HU","0.00","0.00","0.00","0.00"
