"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2023 00:00:00 - 01/01/2023 00:15:00","BZN|HU","93.57","76.14","76.14","58.46"
"01/01/2023 00:15:00 - 01/01/2023 00:30:00","BZN|HU","89.91","60.99","60.99","57.00"
"01/01/2023 00:30:00 - 01/01/2023 00:45:00","BZN|HU","86.26","61.50","61.50","59.97"
"01/01/2023 00:45:00 - 01/01/2023 01:00:00","BZN|HU","82.60","62.01","62.01","66.26"
"01/01/2023 01:00:00 - 01/01/2023 01:15:00","BZN|HU","80.49","66.30","66.30","64.38"
"01/01/2023 01:15:00 - 01/01/2023 01:30:00","BZN|HU","79.94","60.71","60.71","60.29"
"01/01/2023 01:30:00 - 01/01/2023 01:45:00","BZN|HU","79.38","62.52","62.52","53.40"
"01/01/2023 01:45:00 - 01/01/2023 02:00:00","BZN|HU","78.82","64.20","64.20","47.06"
"01/01/2023 02:00:00 - 01/01/2023 02:15:00","BZN|HU","78.75","65.90","65.90","46.46"
"01/01/2023 02:15:00 - 01/01/2023 02:30:00","BZN|HU","79.17","67.54","67.54","46.04"
"01/01/2023 02:30:00 - 01/01/2023 02:45:00","BZN|HU","79.58","59.49","59.49","38.32"
"01/01/2023 02:45:00 - 01/01/2023 03:00:00","BZN|HU","79.99","62.60","62.60","45.83"
"01/01/2023 03:00:00 - 01/01/2023 03:15:00","BZN|HU","80.52","65.75","65.75","57.05"
"01/01/2023 03:15:00 - 01/01/2023 03:30:00","BZN|HU","81.17","46.97","46.97","65.75"
"01/01/2023 03:30:00 - 01/01/2023 03:45:00","BZN|HU","81.81","52.39","52.39","60.63"
"01/01/2023 03:45:00 - 01/01/2023 04:00:00","BZN|HU","82.45","57.81","57.81","70.58"
"01/01/2023 04:00:00 - 01/01/2023 04:15:00","BZN|HU","82.50","61.39","61.39","85.27"
"01/01/2023 04:15:00 - 01/01/2023 04:30:00","BZN|HU","81.94","60.79","60.79","81.97"
"01/01/2023 04:30:00 - 01/01/2023 04:45:00","BZN|HU","81.38","62.52","62.52","84.56"
"01/01/2023 04:45:00 - 01/01/2023 05:00:00","BZN|HU","80.82","59.37","59.37","98.65"
"01/01/2023 05:00:00 - 01/01/2023 05:15:00","BZN|HU","78.87","59.04","59.04","102.97"
"01/01/2023 05:15:00 - 01/01/2023 05:30:00","BZN|HU","75.53","74.35","74.35","82.80"
"01/01/2023 05:30:00 - 01/01/2023 05:45:00","BZN|HU","72.19","70.98","70.98","64.42"
"01/01/2023 05:45:00 - 01/01/2023 06:00:00","BZN|HU","68.85","68.20","68.20","54.23"
"01/01/2023 06:00:00 - 01/01/2023 06:15:00","BZN|HU","65.64","66.73","66.73","47.13"
"01/01/2023 06:15:00 - 01/01/2023 06:30:00","BZN|HU","62.53","51.93","51.93","46.44"
